"","can_name_clean","yr","cst_n","cst","pty_n","party_code","seat","cabinet_role","twitter","facebook","fb_China","tw_China"
"629","NUSRON WAHID",2009,"Jawa Tengah II",27,"GOLKAR",8,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","563529250","https://www.facebook.com/Nusron01",1,1
"630","NUSYAHBANI KATJASUNGKANA SH",2009,"Jawa Timur III",38,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a",NA,"NA",0,0
"631","NUSYIRWAN SOEJONO ST",2009,"Jawa Tengah IX",30,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"NA",0,0
"632","NYOMAN DHAMANTRA",2009,"Bali",4,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","959342454028754944","NA",0,0
"633","OLLY DONDOKAMBEY SE",2009,"Sulawesi Utara",70,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Vice Chairman of Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","3477514637","https://www.facebook.com/GubernurOllyDondokambey",1,0
"634","ONO SURONO",2009,"Jawa Barat VII",21,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","101512842","NA",0,1
"635","PANDA NABABAN",2009,"Sumatera Utara I",75,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","1399660284499750656","NA",0,0
"636","PASKALIS KOSSAY S PD MM",2009,"Papua",60,"GOLKAR",8,1,"Commission I (Defense, Foreign and Information Affairs)","2704425330","NA",0,1
"637","PATRICE EIO CAPELLA",2009,"Bengkulu",8,"PARTAI AMANAT NASIONAL",5,0,"n/a",NA,"NA; NA",0,0
"638","PIUS LUSTRILANANG S IP M SI",2009,"Nusa Tenggara Timur I",58,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","197761930","NA; https://www.facebook.com/lustrilanang.pius",1,1
"639","PRIMUS YUSTISIO",2009,"Jawa Barat VIII",22,"PARTAI AMANAT NASIONAL",5,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"https://www.facebook.com/dewan.primusyustisio",1,0
"640","PROF DIDIK J RACHBINI",2009,"Jawa Barat V",19,"PARTAI AMANAT NASIONAL",5,0,"n/a","2408188856; 139622653","NA; NA",0,1
"641","PROF DR H IRWAN PRAYITNO PSI MSC",2009,"Sumatera Barat I",71,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs) ; in 2010 elected as Governor of West Sumatera","135707457","https://www.facebook.com/IrwanPrayitnoOfficial",1,1
"642","PROF DR H MAHYUDDIN NS SP OG K",2009,"Sumatera Selatan II",74,"DEMOKRAT",9,1,"Chairman of Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)",NA,"NA",0,0
"643","PROF DR HENDRAWAN SUPRATIKNO",2009,"Jawa Tengah X",35,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"https://www.facebook.com/Hendrawan-Supratikno-275210252594363",1,0
"644","PROF DR IR SUHARDI M SC",2009,"Jawa Tengah IX",30,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a",NA,"https://www.facebook.com/Prof-Dr-Ir-Suhardi-Msc-404451212973406",0,0
"645","PROF DR ISMET AHMAD",2009,"Kalimantan Selatan I",48,"PARTAI AMANAT NASIONAL",5,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","2236979396","NA",0,0
"646","PROF DR MUHTOSIM ARIEF SE MM",2009,"Jawa Tengah II",27,"PARTAI HATI NURANI RAKYAT",18,0,"n/a",NA,"NA",0,0
"647","PROF DR THOMAS SUYATNO",2009,"Jawa Tengah IX",30,"GOLKAR",8,0,"n/a","2857745275","NA",0,0
"648","PROF DR TOPANE GAYUS LUMBUUN SH MH",2009,"Jawa Timur IX",40,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","317223874","NA",0,0
"649","PUAN MAHARANI",2009,"Jawa Tengah IX",30,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"
Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","1290929280818401280; 1183856526479351808; 1328019473056493568","https://www.facebook.com/PuanMaharaniUntukIndonesia",0,1
"650","PUTI GUNTUR SOEKARNO S IP",2009,"Jawa Barat X",23,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","4176015732; 953174650145534080","https://www.facebook.com/putigsoekarno",1,1
"651","PUTIH SARI SKG",2009,"Jawa Barat VI",20,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)",NA,"https://www.facebook.com/drg.putihsari; NA",1,0
"652","PUTUT TRI HUSODO",2009,"Jawa Tengah V",31,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"NA",0,0
"653","R ADANG RUCHIATNA PURADIREDJA",2009,"DKI Jakarta I",10,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","291002925","NA; NA",0,0
"654","RACHEL MARIAM SAYIDINA",2009,"Jawa Barat II",15,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission I (Defense, Foreign and Information Affairs)","580022688","NA",0,1
"655","RAHMAD PRIBADI",2009,"Daerah Istimewa Yogyakarta",9,"GOLKAR",8,0,"n/a","388149521; 108022457","NA; NA",0,1
"656","RAMA PRATAMA SE AK",2009,"DKI Jakarta I",10,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","1087636782882054144","https://www.facebook.com/Rama-Pratama-17988252350; https://www.facebook.com/ramapratama1998",0,0
"657","RATU DIAN HATIFAH",2009,"Banten III",7,"GOLKAR",8,0,"n/a","733798939720179712","NA; NA",0,0
"658","RATU MUNAWARAH ZULKIFLI",2009,"Jambi",25,"PARTAI AMANAT NASIONAL",5,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","1262029345658302464","NA; https://www.facebook.com/ratumunawarohzulkifli1; NA",0,0
"659","REFRIZAL",2009,"Sumatera Barat II",72,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","1279880442","NA; NA",0,1
"660","RENI MARLINAWATI DR",2009,"Jawa Barat IV",17,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","2963736802","NA",0,1
"661","RICKY RACHMADI SH",2009,"Jawa Tengah VIII",34,"GOLKAR",8,0,"n/a","111938543","NA",0,1
"662","RIEKE DIAH PITALOKA",2009,"Jawa Barat II",15,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","774793980680691712","https://www.facebook.com/riekediahpitaloka; NA",1,1
"663","RINDOKO SH M KUM",2009,"Jawa Timur I",36,"PARTAI GERAKAN INDONESIA RAYA",17,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)",NA,"NA",0,0
"664","RINTO SUBEKTI SE MM",2009,"Jawa Tengah IV",29,"DEMOKRAT",9,1,"
Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","2166153877","NA",0,1
"665","ROBERT JOPPY KARDINAL",2009,"Papua Barat",61,"GOLKAR",8,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","1637243053","https://www.facebook.com/robertjkardinal",0,0
"666","ROBERTO ROUW",2009,"Papua",60,"PARTAI PATRIOT",6,0,"n/a",NA,"NA",0,0
"667","RR IDA RESMI NURANI",2009,"Jawa Tengah VI",32,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","2162377338","NA",0,0
"668","RUDY ALFONSO SH",2009,"Sulawesi Barat",64,"GOLKAR",8,0,"n/a","105433666","NA",0,0
"669","RUHUT POLTAK SITOMPUL SH",2009,"Sumatera Utara III",77,"DEMOKRAT",9,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","219244515","https://www.facebook.com/ruhutpsitompul",0,1
"670","RUSDIN M NUR",2009,"Nusa Tenggara Barat",57,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a","938769852352708608","NA",0,0
"671","RUSLI BERAMSAH SH",2009,"Jawa Barat IV",17,"DEMOKRAT",9,0,"n/a",NA,"NA; NA",0,0
"672","S W YUDHA M SC",2009,"Jawa Timur VIII",44,"GOLKAR",8,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","341893888","https://www.facebook.com/satyawidyayudha",1,1
"673","SAAN MUSTOFA",2009,"Jawa Barat VI",20,"DEMOKRAT",9,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","164366773","NA",0,1
"674","SABAM SIRAIT",2009,"Kalimantan Tengah",50,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"https://www.facebook.com/sabamsiraitofficial",1,0
"675","SAIFUL ISLAM MUBAROK MA",2009,"Jawa Barat I",14,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","704306696","NA; NA",0,0
"676","SALEH HUSIN SE M SI",2009,"Nusa Tenggara Timur II",59,"PARTAI HATI NURANI RAKYAT",18,1,"
Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","4433060894","https://www.facebook.com/salehhusin63",0,1
"677","SAPTO MURTIONO",2009,"Jawa Timur IX",40,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","413749198","NA",0,0
"678","SELINA GITA SE",2009,"Jambi",25,"GOLKAR",8,1,"n/a",NA,"https://www.facebook.com/Selina-Gita-SE-54209649275",0,0
"679","SHINTA DEVANAGARI BA MM",2009,"Nusa Tenggara Timur II",59,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a",NA,"NA",0,0
"680","SIDARTO DANUSUBROTO DRS  SH",2009,"Jawa Barat VII",21,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission I (Defense, Foreign and Information Affairs)","3007521048","NA",0,1
"681","SITI MUFATTAHAH PSI",2009,"Jawa Barat XI",24,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","579568174","NA",0,1
"682","SONNY WAPLAU",2009,"Maluku",55,"DEMOKRAT",9,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"NA",0,0
"683","SP INDRAWATI TARMUJI SE MM",2009,"Jawa Timur VII",43,"GOLKAR",8,0,"n/a",NA,"NA",0,0
"684","STEPHANUS PELOR SH MH",2009,"Nusa Tenggara Timur I",58,"PARTAI HATI NURANI RAKYAT",18,0,"n/a",NA,"NA",0,0
"685","SUAIDI MARASABESSY S IP",2009,"Maluku",55,"PARTAI HATI NURANI RAKYAT",18,0,"n/a","1658896927","NA",0,0
"686","SUDEWA ST  MT",2009,"Jawa Tengah VI",32,"DEMOKRAT",9,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)",NA,"https://www.facebook.com/SudewaSTMT",0,0
"687","SUDIN",2009,"Lampung I",53,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"n/a","377296011","NA",0,0
"688","SUGIANTO",2009,"Kalimantan Tengah",50,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","862704750445199360","NA",0,1
"689","SUKUR H NABABAN ST",2009,"Jawa Barat V",19,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","2361226892","NA",1,0
"690","SUNARYO ADHIWARDOYO",2009,"Jawa Barat VII",21,"GOLKAR",8,0,"n/a","292288660","NA",0,0
"691","SURYA IMAN WAHYUDI SH MH",2009,"Kalimantan Selatan I",48,"PARTAI AMANAT NASIONAL",5,0,"n/a","2237013967","NA",0,0
"692","SURYADHARMA ALI DRS H M SI",2009,"Jawa Barat III",16,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"n/a (Religion Minister 2009-2014)","1560661562","NA; ttps://www.facebook.com/suryadharmaali",0,0
"693","SUSANINGTYAS NEFO HANDAYANI KERTAPATI",2009,"Jawa Tengah IV",29,"PARTAI HATI NURANI RAKYAT",18,1,"Commission I (Defense, Foreign and Information Affairs)",NA,"NA",0,0
"694","SUSANTI AGUSTINA SH",2009,"Kalimantan Timur",51,"PARTAI HATI NURANI RAKYAT",18,0,"n/a",NA,"NA",0,0
"695","SY ANAS THAHIR",2009,"Jawa Timur III",38,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a",NA,"NA",0,0
"696","SYAMSUL ANWAR HARAHAP",2009,"Sumatera Utara II",76,"DEMOKRAT",9,0,"n/a",NA,"NA; NA",0,0
"697","SYARIF BASTAMAN SH MBA",2009,"Jawa Barat XI",24,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","1877629490","NA",0,0
"698","SYOFWATILLAH MOHZAIB S SOS I",2009,"Sumatera Selatan I",73,"DEMOKRAT",9,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","873215683655417728","NA",0,1
"699","SYUKRI FADHOLI SH",2009,"Daerah Istimewa Yogyakarta",9,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a","2361130854","NA",0,0
"700","T CEPPY SUBHAN SOLICHIN",2009,"Jawa Barat II",15,"DEMOKRAT",9,0,"n/a","2179098330","NA",0,1
"701","TAMSIL LINRUNG S PD",2009,"Sulawesi Selatan II",66,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","1399665230","https://www.facebook.com/tamsillinrungcare",0,1
"702","TANTOWI YAHYA",2009,"Sumatera Selatan II",74,"GOLKAR",8,1,"

Commission I (Defense, Foreign and Information Affairs)","3178449726","https://www.facebook.com/Tantowi-Yahya-370794405406",0,1
"703","TASLIM S SI",2009,"Sumatera Barat II",72,"PARTAI AMANAT NASIONAL",5,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","815776419649175552","NA; https://www.facebook.com/Taslim-SSi-115461958482549",0,1
"704","TB DEDI S GUMELAR",2009,"Banten I",5,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","420830655; 3311503536; 1459618064","NA",0,1
"705","TB H ACE HASAN SYADZILY M SI",2009,"Banten I",5,"GOLKAR",8,0,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)",NA,"NA",0,0
"706","TB HASANUDDIN SE MM",2009,"Jawa Barat VIII",22,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Head of Commission I (Defense, Foreign and Information Affairs)",NA,"NA",0,0
"707","TEUKU IRWAN",2009,"Aceh II",2,"DEMOKRAT",9,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","266188248","NA",0,1
"708","THERESIA E E PARDEDE",2009,"Jawa Barat II",15,"DEMOKRAT",9,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","238542435","NA",0,0
"709","TOSSY ARYANTO SE M MH",2009,"Jawa Tengah VII",33,"PARTAI KEADILAN SEJAHTERA",25,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs), in 2010 moved to Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs), in 2011 moved to Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs), then back to Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)",NA,"NA",0,0
"710","TOTO DIRGANTORO",2009,"Jawa Tengah VII",33,"GOLKAR",8,0,"n/a","1087671258","NA",0,0
"711","TRI TAMTOMO SH",2009,"Sumatera Utara III",77,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission I (Defense, Foreign and Information Affairs)",NA,"NA",0,0
"712","TRIMEDYA PANJAITAN S H  M H",2009,"Sumatera Utara II",76,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)",NA,"NA",0,0
"713","USAMAH ALHADAR",2009,"Jawa Timur II",37,"PARTAI PERSATUAN PEMBANGUNAN",15,0,"n/a","2206103293","NA",0,0
"714","VANDA SARUNDAJANG",2009,"Sulawesi Utara",70,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","1712106164","https://www.facebook.com/vandadsarundajang; NA",0,0
"715","VENNA MELINDA SE",2009,"Jawa Timur V",41,"DEMOKRAT",9,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","106443167","https://www.facebook.com/Venna-Melinda-513519122040608; NA",0,1
"716","VIVA YOGA MAULADI M SI",2009,"Jawa Timur X",45,"PARTAI AMANAT NASIONAL",5,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","264301708","https://www.facebook.com/Viva-Yoga-Mauladi-182488648463903; NA",1,1
"717","WA ODE NURHAYATI S SOS",2009,"Sulawesi Tenggara",69,"PARTAI AMANAT NASIONAL",5,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)",NA,"NA",0,0
"718","YAHDIL ABDI HARAHAP SH MH",2009,"Sumatera Utara II",76,"PARTAI AMANAT NASIONAL",5,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","1882859262","NA",0,0
"719","YANDRI SUSANTO",2009,"Lampung I",53,"PARTAI AMANAT NASIONAL",5,0,"n/a","4627015154","https://www.facebook.com/HYandri-Susanto-SPt-102033254815662",1,0
"720","YONATER KAROBA S TH",2009,"Papua",60,"PARTAI DAMAI SEJAHTERA",13,0,"n/a",NA,"NA",0,0
"721","YORRYS RAWEYAI",2009,"Papua",60,"GOLKAR",8,1,"
Commission I (Defense, Foreign and Information Affairs)","2855341226","https://www.facebook.com/yrforpapua34; NA",0,0
"722","YOSEF B BADEODA SH MH",2009,"Nusa Tenggara Timur I",58,"DEMOKRAT",9,0,"n/a","2268289742","NA",0,0
"723","YOSEPH UMAR HADI DRS  MSI",2009,"Jawa Barat VII",21,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)",NA,"NA",0,0
"724","ZAINUN AHMADI",2009,"Jawa Timur X",45,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","934434613933498368","NA",0,0
"725","ZULKIFLI HASAN SE MM",2009,"Lampung I",53,"PARTAI AMANAT NASIONAL",5,1,"Ministry of Environment and Forestry","187520592","https://www.facebook.com/ZulkifliHasanOfficial",1,1
"726","A TAUFAN TIRO ST",2009,"Sulawesi Selatan II",66,"PARTAI AMANAT NASIONAL",5,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","514762401",NA,0,0
"727","BOKIRATU NITABUDHI SUSANTI SE",2009,"Maluku Utara",56,"DEMOKRAT",9,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","2430515070",NA,0,0
"728","DAERWIN Z SALEH SE  MBA",2009,"Lampung I",53,"DEMOKRAT",9,1,"Commission V (Communications, Telecommunications, Public Works, Public Housing Affairs, Acceleration of Development of Disadvantaged Regions)","2176140242",NA,0,0
"729","DIDIK SALMIJARDI",2009,"Kalimantan Tengah",50,"DEMOKRAT",9,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","2268528337",NA,0,0
"730","DR MUHAMMAD PRAKOSA",2009,"Jawa Tengah VIII",34,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","2162111047",NA,0,0
"731","DRA HJ RATU SITI ROMLAH M AG",2009,"Banten I",5,"DEMOKRAT",9,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","3233322410",NA,0,0
"732","DRA HJ TRULYANTI HABIBIE SUTRASNO M PSI",2009,"Gorontalo",13,"GOLKAR",8,0,"n/a","2167693741",NA,0,0
"733","DRS H ACH RUBAIE SH MH",2009,"Jawa Timur XI",46,"PARTAI AMANAT NASIONAL",5,1,"Commission III (Law and Legislation, Human Rights, and Security Affairs)","2249788862",NA,0,0
"734","DRS H ASRIL DAS",2009,"Sumatera Barat I",71,"GOLKAR",8,0,"n/a","2324094002",NA,0,0
"735","DRS H ENDANG SUKANDAR M SI",2009,"Jawa Barat VIII",22,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","1422724201",NA,0,0
"736","DRS H MAHRUS MUNIR",2009,"Jawa Timur X",45,"DEMOKRAT",9,1,"Commission VIII (Religious, Social, and Women's Empowerment Affairs)","1446310586",NA,0,0
"737","DRS H MARZUKI DAUD",2009,"Aceh II",2,"GOLKAR",8,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","928242471598821120",NA,0,0
"738","DRS H SYOFYAN ALI MM",2009,"Jambi",25,"DEMOKRAT",9,0,"n/a","1411847394",NA,0,0
"739","DRS H TJETJE AL ANSHORI MM",2009,"Jawa Barat XI",24,"PARTAI AMANAT NASIONAL",5,0,"n/a","2191884180",NA,0,0
"740","DRS I WAYAN SUGIANA MM",2009,"Bali",4,"DEMOKRAT",9,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","1075802706",NA,0,0
"741","DRS SUPARWANTO MBA",2009,"Banten I",5,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","1839260688",NA,0,0
"742","FAMI FACHRUDIN",2009,"Jawa Tengah VIII",34,"PARTAI GERAKAN INDONESIA RAYA",17,0,"n/a","115299040",NA,0,1
"743","H ANDI SAIMAN SANTO SE",2009,"Sulawesi Tengah",68,"DEMOKRAT",9,0,"n/a","2274149677",NA,0,0
"744","H DEDI WAHIDI S PD",2009,"Jawa Barat VII",21,"PARTAI KEBANGKITAN BANGSA",1,1,"Commission X (Education, Youth, Sport, Tourism, Arts and Culture Affairs)","706496290801078272",NA,0,0
"745","H DJUWARTO",2009,"Daerah Istimewa Yogyakarta",9,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","1838617346",NA,0,0
"746","H PAIMAN",2009,"Bangka Belitung",3,"DEMOKRAT",9,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","2177010792",NA,0,0
"747","H ZAENAL MA ARIF SH M AG",2009,"Jawa Tengah IX",30,"DEMOKRAT",9,0,"n/a","1571827760",NA,0,0
"748","HALIM KALLA",2009,"Sulawesi Selatan II",66,"GOLKAR",8,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","590688480",NA,0,0
"749","HARI PUTRI LESTARI SH MH",2009,"Jawa Timur IV",39,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","990886688749637632",NA,0,0
"750","HJ EUIS SITI JULAEHA SAHIDIN SIP",2009,"Jawa Barat XI",24,"GOLKAR",8,0,"n/a","2259697952",NA,0,0
"751","IAN SIAGIAN",2009,"Riau I",62,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IV (Agricultural, Plantations, Forestry, Maritime, Fisheries, and Food Affairs)","811495193270743040",NA,0,0
"752","INDAH KURNIA",2009,"Jawa Timur I",36,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","462827824",NA,0,0
"753","INDRI SULISTYOWATI BBA",2009,"Jawa Tengah IV",29,"DEMOKRAT",9,0,"n/a","2268225343",NA,0,0
"754","IR CHANDRA TIRTA WIJAYA",2009,"Jawa Barat X",23,"PARTAI AMANAT NASIONAL",5,1,"Commission VII (Energy, Mineral Resources, Research and Technology, Environmental Affairs)","400539426",NA,0,0
"755","IR H ADRIAN MAULANA DJAMBEK",2009,"Sumatera Barat II",72,"PARTAI AMANAT NASIONAL",5,0,"n/a","101393960",NA,0,1
"756","IR H AZHAR ROMLI M SI",2009,"Bangka Belitung",3,"GOLKAR",8,0,"n/a","3219051752",NA,0,0
"757","IR H I EMIR MOEIS MSC",2009,"Kalimantan Timur",51,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission XI (Finance, National Development Planning Board, Banking and Non-Bank Financial Institutions Affairs)","1062354185587326720",NA,0,0
"758","IR H PRAMONO ANUNG WIBOWO MM",2009,"Jawa Timur V",41,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission II (Home Affairs, Regional Autonomy, Administrative Reforms and Agrarian Affairs)","151313825",NA,0,1
"759","IR H SUSILO MT HARAHAP",2009,"Sulawesi Selatan I",65,"GOLKAR",8,0,"n/a","2167621386",NA,0,0
"760","IR IDRIS SUGENG MSC",2009,"Jawa Tengah VIII",34,"DEMOKRAT",9,1,"Commission VI (Trade, Industrial, Investment, Cooperatives and Small and Medium Scale Enterprises, and State-Owned Enterprises Affairs)","571506046",NA,0,0
"761","KEMAL AZIS STAMBOEL",2009,"Jawa Barat XI",24,"PARTAI KEADILAN SEJAHTERA",25,1,"Head of Commission I (Defense, Foreign and Information Affairs)","87122354",NA,0,1
"762","LUKMAN HAKIM SAIFUDIN",2009,"Jawa Tengah V",31,"PARTAI PERSATUAN PEMBANGUNAN",15,1,"n/a","198860948",NA,0,1
"763","MABROER MS",2009,"Jawa Timur VIII",44,"PARTAI KEBANGKITAN BANGSA",1,0,"n/a","757771100365266944",NA,0,0
"764","MALA FATMA HUSIN",2009,"Sumatera Selatan I",73,"DEMOKRAT",9,0,"n/a","2245304246",NA,0,0
"765","MOH K RENWARIN",2009,"Papua",60,"PARTAI KEADILAN SEJAHTERA",25,0,"n/a","1967248280",NA,0,0
"766","MUHAMMAD YAMIN SH",2009,"Jawa Tengah VIII",34,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,0,"n/a","363243309",NA,0,1
"767","NURAENI A BARUNG",2009,"Sulawesi Selatan I",65,"DEMOKRAT",9,0,"n/a","2275395938",NA,0,0
"768","NURSUHUD",2009,"Jawa Timur III",38,"PARTAI DEMOKRASI INDONESIA-PERJUANGAN",12,1,"Commission IX (Demography, Health, Manpower and Transmigration Affairs)","2155908092",NA,0,0
